2019-03-18 15:39:15.318347 INFO   ................ [START] NURI PROXY  ................ 
2019-03-18 15:39:15.318628 INFO  proxy server initialization 
2019-03-18 15:39:15.318645 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-03-18 15:39:15.318742 INFO  Listen host = 127.0.0.1
2019-03-18 15:39:15.318755 INFO  Listen port = 12083
2019-03-18 15:39:15.318764 INFO  Backend host = 127.0.0.1
2019-03-18 15:39:15.318772 INFO  Backend port = 1813
2019-03-18 15:39:15.318781 INFO  CACertificate file =/usr/local/nuri-ssl/certs/kepco/ca_chain.conf
2019-03-18 15:39:15.318790 INFO  Certificate file = /usr/local/nuri-ssl/certs/kepco/NTC501800000A_sign.pem
2019-03-18 15:39:15.318799 INFO  CertificateKeyFile =/usr/local/nuri-ssl/certs/kepco/sign_private_A.out.key
2019-03-18 15:39:15.318808 INFO  Max session time =13
2019-03-18 15:39:15.318857 INFO  ptls server initialization
2019-03-18 15:39:15.748040 INFO  Waiting for DTLS communication...... 
2019-03-18 15:39:15.748059 INFO  ptls_session_ctx_malloc success
2019-03-18 15:40:17.664265 INFO  Cipher-Suite : TLS-ECDHE-ECDSA-WITH-ARIA-256-GCM-SHA384
2019-03-18 15:40:17.664383 INFO  Waiting for DTLS communication...... 
2019-03-18 15:40:17.664413 INFO  ptls_session_ctx_malloc success
2019-03-18 15:40:17.664515 INFO  Socket has been created. [Socket Discriptor = 5]
2019-03-18 15:40:17.664585 INFO  [thread_id : 3401307904] Thread start 
2019-03-18 15:40:17.665362 INFO  ptls_server_read[169] : <<pass>> 
2019-03-18 15:40:17.665427 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 15:40:17.665495 INFO  radius server <- proxy :: 169 Bytes data sent.
2019-03-18 15:40:17.666531 INFO  radius server -> proxy :: 64 Byte data received.
2019-03-18 15:40:17.666646 INFO  ptls_server_write[64] : <<pass>>

2019-03-18 15:40:17.673597 INFO  ptls_server_read[307] : <<pass>> 
2019-03-18 15:40:17.673634 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 15:40:17.673680 INFO  radius server <- proxy :: 307 Bytes data sent.
2019-03-18 15:40:17.675874 INFO  radius server -> proxy :: 1068 Byte data received.
2019-03-18 15:40:17.676541 INFO  ptls_server_write[1068] : <<pass>>

2019-03-18 15:40:17.678008 INFO  ptls_server_read[167] : <<pass>> 
2019-03-18 15:40:17.678034 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 15:40:17.678072 INFO  radius server <- proxy :: 167 Bytes data sent.
2019-03-18 15:40:17.678647 INFO  radius server -> proxy :: 324 Byte data received.
2019-03-18 15:40:17.678941 INFO  ptls_server_write[324] : <<pass>>

2019-03-18 15:40:17.697636 INFO  ptls_server_read[1288] : <<pass>> 
2019-03-18 15:40:17.697673 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 15:40:17.697718 INFO  radius server <- proxy :: 1288 Bytes data sent.
2019-03-18 15:40:17.700181 INFO  radius server -> proxy :: 119 Byte data received.
2019-03-18 15:40:17.700367 INFO  ptls_server_write[119] : <<pass>>

2019-03-18 15:40:17.701336 INFO  ptls_server_read[167] : <<pass>> 
2019-03-18 15:40:17.701374 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 15:40:17.701428 INFO  radius server <- proxy :: 167 Bytes data sent.
2019-03-18 15:40:17.839928 INFO  radius server -> proxy :: 1118 Byte data received.
2019-03-18 15:40:17.840679 INFO  ptls_server_write[1118] : <<pass>>

2019-03-18 15:40:27.850754 ERROR The operation timed out.
2019-03-18 15:40:27.850921 INFO  [thread_id : 3401307904] ptls_server_session_close_notify 0
2019-03-18 15:40:27.850951 INFO  Socket has been closed. [Socket Discriptor = 5]
2019-03-18 15:40:27.850964 INFO  [thread_id : 3401307904] ptls_session_ctx_free 0
2019-03-18 15:52:33.568726 INFO  Cipher-Suite : TLS-ECDHE-ECDSA-WITH-ARIA-256-GCM-SHA384
2019-03-18 15:52:33.568797 INFO  Waiting for DTLS communication...... 
2019-03-18 15:52:33.568807 INFO  ptls_session_ctx_malloc success
2019-03-18 15:52:33.568905 INFO  Socket has been created. [Socket Discriptor = 5]
2019-03-18 15:52:33.568961 INFO  [thread_id : 3392915200] Thread start 
2019-03-18 15:52:33.569817 INFO  ptls_server_read[169] : <<pass>> 
2019-03-18 15:52:33.569834 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 15:52:33.569880 INFO  radius server <- proxy :: 169 Bytes data sent.
2019-03-18 15:52:33.570445 INFO  radius server -> proxy :: 64 Byte data received.
2019-03-18 15:52:33.570498 INFO  ptls_server_write[64] : <<pass>>

2019-03-18 15:52:33.576562 INFO  ptls_server_read[307] : <<pass>> 
2019-03-18 15:52:33.576583 INFO  Backend Server = 127.0.0.1:1813
2019-03-18 15:52:33.576608 INFO  radius server <- proxy :: 307 Bytes data sent.
2019-03-18 15:52:33.577897 INFO  radius server -> proxy :: 1068 Byte data received.
2019-03-18 15:52:33.578217 INFO  ptls_server_write[1068] : <<pass>>

2019-03-18 15:52:33.579359 INFO  ptls_server_read[167] : <<pass>> 
2019-03-18 15:52:33.579379 INFO  Backend Server = 127.0.0.1:1813
