nohup: failed to run command `./nproxy': 그런 파일이나 디렉터리가 없습니다
2019-10-07 10:15:10.402562 INFO   ................ [START] NURI PROXY  ................ 
2019-10-07 10:15:10.402828 INFO  proxy server initialization 
2019-10-07 10:15:10.402845 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-10-07 10:15:10.402936 INFO  Listen host = 112.136.247.181
2019-10-07 10:15:10.402949 INFO  Listen port = 12083
2019-10-07 10:15:10.402958 INFO  Backend host = 127.0.0.1
2019-10-07 10:15:10.402967 INFO  Backend port = 1813
2019-10-07 10:15:10.402976 INFO  CACertificate file =/usr/local/nuri-ssl/certs/kepco/ca_chain.conf
2019-10-07 10:15:10.402986 INFO  Certificate file = /usr/local/nuri-ssl/certs/kepco/hes_pana_kepco.pem
2019-10-07 10:15:10.402995 INFO  CertificateKeyFile =/usr/local/nuri-ssl/certs/kepco/key/hes_pana_kepco.key
2019-10-07 10:15:10.403005 INFO  Max session time =13
2019-10-07 10:15:10.403054 INFO  ptls server initialization
2019-10-07 10:15:10.834230 INFO  Waiting for DTLS communication...... 
2019-10-07 10:15:10.834248 INFO  ptls_session_ctx_malloc success
