2019-12-07 00:01:02.759035 INFO  _NPROXY_ is started. 
2019-12-07 00:01:02.759301 INFO  proxy server initialization 
2019-12-07 00:01:02.759317 INFO  nproxy config file  = /root/nuri-proxy/nproxy.conf
2019-12-07 00:01:02.759406 INFO  Listen host = 112.136.247.181
2019-12-07 00:01:02.759418 INFO  Listen port = 12083
2019-12-07 00:01:02.759426 INFO  Backend host = 127.0.0.1
2019-12-07 00:01:02.759434 INFO  Backend port = 1813
2019-12-07 00:01:02.759442 INFO  CACertificate file =/root/nuri-proxy/_KEYCONV_/kepcocerts/ca_chain.conf
2019-12-07 00:01:02.759450 INFO  Certificate file = /root/nuri-proxy/_KEYCONV_/kepcocerts/KEP8319000001.kepco.com.pem
2019-12-07 00:01:02.759458 INFO  CertificateKeyFile =/root/nuri-proxy/_KEYCONV_/kepcocerts/private.server.kepco.com.pem
2019-12-07 00:01:02.759466 INFO  Max session time =13
2019-12-07 00:01:02.759474 INFO  FEP Server IP = 59.3.93.125
2019-12-07 00:01:02.759482 INFO  FEP Server Port = 19000
2019-12-07 00:01:02.759529 INFO  ptls server initialization
2019-12-07 00:01:03.190812 INFO  Waiting for DTLS communication...... 
2019-12-07 00:01:03.190829 INFO  ptls_session_ctx_malloc success
